376.9,165.3,253,156.4,193.5,189.3,153.9,254.5
373.4,165,249.6,156.8,191.7,190.8,155.7,255.9
370,164.7,246.2,157.2,189.9,192.3,157.3,257.1
366.4,164.1,242.8,158,188.1,193.9,159.6,258.4
362.4,163.6,239.1,158.7,186.3,195.6,162,259.4
358.8,163.1,235.6,159.7,184.5,197.3,164.4,260.4
355.1,162.9,232.1,160.5,182.8,199,166.7,261.9
351.4,162.3,228.5,161.3,181,200.8,169.2,263.4
347.4,162.2,224.9,162.1,179.3,202.7,171.7,263.9
343.6,161.8,221.4,163.1,177.8,204.6,173.9,265.9
339.7,161.9,217.8,164.2,176.2,206.6,175.8,267.3
335.8,162,214.1,165.3,174.5,208.6,177.9,269
331.8,162.1,210.6,166.4,172.9,210.5,180.3,270.4
328,162.3,207.2,167.5,171.6,212.3,182.9,272
324.2,162.5,204.1,168.6,170.4,214,186,273.7
320.2,163,200.9,169.7,169.1,215.9,188.8,275.3
316,163,197.6,170.9,167.8,217.8,192.3,276.7
312.4,163.6,194.5,172.2,166.5,219.8,195.5,278.1
309.1,163.8,191.4,173.5,165.2,221.8,199,279.7
305.1,164.4,188.5,174.7,163.9,223.7,202.6,280.8
301.5,164.6,185.5,176.1,162.7,225.6,206.7,282.1
297.9,164.8,182.9,177.4,161.7,227.5,211,283.5
293.8,165.1,180.2,178.8,160.7,229.5,215.4,285.3
289.7,165.4,177.6,180.2,159.7,231.5,219.7,286.3
285.7,165.8,175.1,181.7,158.8,233.4,223.6,287.6
281.7,165.8,172.9,183.3,158,235.3,228.2,288.6
277.8,166.1,170.9,184.8,157.4,237,232,289.4
273.4,166.7,168.5,186.4,157,238.6,236.7,290.5
269,167.2,166.4,188.2,156.5,240.3,241.6,291.5
265.1,167.3,164.8,189.7,156.1,242,246.4,292.5
260.7,168,163.2,191.4,155.9,243.6,251.6,293.1
256.4,168.2,161.8,193.2,155.6,245.2,256.1,293.4
252.4,168.4,160.4,195.2,155.5,246.8,261.1,293.9
248.4,168.6,159.1,197.2,155.5,248.4,266.3,294.6
244.5,168.7,157.9,199.3,155.5,250.1,271.7,295
240.8,169.5,156.7,201.3,155.9,251.8,277.1,295.2
237,169.9,155.8,203.2,156.5,253.6,282.4,295.6
233.3,170.5,155.2,205.3,157.3,255.2,287.4,295.6
229.2,171.4,154.6,207.3,158.1,256.2,293.3,295.6
225.3,172.6,153.8,209.5,159.5,257.5,299.8,295.1
221.6,173,153.3,211.6,161,259.4,305.7,295
217.9,174.3,152.7,213.8,162.8,260.5,311.8,294.8
214.3,175.6,152.4,215.7,164.7,262.1,317.6,294.4
210.4,176.5,152.1,217.6,166.9,264,323.2,293.6
206.8,178,151.9,219.4,169.2,265,328.8,293
